Dex,Pokemon,Moves,Levels
561,sigilyph,"gust, whirlwind, fly, icebeam, psybeam, hyperbeam, solarbeam, thunderwave, toxic, confusion, psychic, hypnosis, doubleteam, lightscreen, reflect, mirrormove, swift, dreameater, skyattack, flash, psywave, rest, substitute, thief, snore, protect, icywind, endure, swagger, steelwing, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, futuresight, heatwave, facade, trick, skillswap, imprison, secretpower, aircutter, cosmicpower, aerialace, calmmind, roost, gravity, miracleeye, pluck, tailwind, powerswap, darkpulse, airslash, energyball, gigaimpact, psychocut, zenheadbutt, flashcannon, trickroom, chargebeam, psyshock, telekinesis, magicroom, smackdown, synchronoise, round, storedpower, confide, dazzlinggleam, speedswap","1, 14, 101, 101, 18, 101, 101, 101, 101, 1, 44, 4, 101, 24, 28, 34, 101, 101, 51, 101, 8, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 60, 101, 101, 21, 48, 101, 101, 101, 38, 1, 101, 11, 101, 101, 41, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101"
562,yamask,"disable, toxic, psychic, nightshade, doubleteam, haze, dreameater, flash, rest, substitute, thief, snore, curse, protect, destinybond, endure, swagger, meanlook, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, willowisp, facade, trick, skillswap, imprison, grudge, secretpower, astonish, faketears, irondefense, calmmind, payback, embargo, toxicspikes, darkpulse, energyball, nastyplot, zenheadbutt, trickroom, ominouswind, guardsplit, powersplit, wonderroom, telekinesis, round, allyswitch, hex, craftyshield, confide, infestation","5, 101, 101, 13, 101, 9, 101, 101, 101, 101, 101, 101, 29, 1, 49, 101, 101, 45, 101, 101, 101, 101, 101, 101, 101, 101, 37, 21, 101, 101, 101, 101, 41, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 33, 33, 101, 101, 101, 101, 17, 20, 101, 101"
563,cofagrigus,"disable, hyperbeam, toxic, psychic, nightshade, doubleteam, haze, dreameater, flash, rest, substitute, thief, snore, curse, protect, scaryface, destinybond, endure, swagger, meanlook, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, willowisp, facade, trick, revenge, skillswap, imprison, grudge, secretpower, astonish, faketears, irondefense, calmmind, payback, embargo, powerswap, guardswap, toxicspikes, darkpulse, energyball, gigaimpact, nastyplot, shadowclaw, zenheadbutt, trickroom, grassknot, ominouswind, guardsplit, powersplit, wonderroom, telekinesis, round, allyswitch, hex, phantomforce, craftyshield, confide, infestation, bodypress","1, 101, 101, 101, 13, 101, 1, 101, 101, 101, 101, 101, 101, 29, 1, 34, 57, 101, 101, 51, 101, 101, 101, 101, 101, 101, 101, 101, 39, 21, 101, 101, 101, 101, 101, 45, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 0, 101, 101, 101, 25, 33, 33, 101, 101, 101, 101, 17, 101, 20, 101, 101, 101"
564,tirtouga,"bodyslam, bite, watergun, hydropump, surf, icebeam, blizzard, strength, earthquake, dig, toxic, doubleteam, withdraw, bide, waterfall, rest, rockslide, substitute, snore, curse, protect, icywind, sandstorm, endure, rollout, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, crunch, ancientpower, rocksmash, whirlpool, facade, secretpower, dive, rocktomb, muddywater, irondefense, mudshot, rockblast, brine, guardswap, rockpolish, aquatail, earthpower, zenheadbutt, stoneedge, stealthrock, aquajet, wideguard, smackdown, round, scald, shellsmash, bulldoze, confide, liquidation","101, 8, 1, 51, 101, 101, 101, 101, 101, 101, 101, 101, 1, 1, 101, 101, 45, 101, 101, 35, 11, 101, 101, 101, 5, 101, 101, 101, 101, 101, 101, 101, 48, 21, 18, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 28, 101, 101, 41, 101, 101, 101, 101, 15, 25, 31, 101, 101, 38, 101, 101, 101"
565,carracosta,"bodyslam, bite, watergun, hydropump, surf, icebeam, blizzard, hyperbeam, lowkick, strength, earthquake, dig, toxic, doubleteam, withdraw, bide, waterfall, rest, rockslide, substitute, snore, curse, protect, icywind, sandstorm, endure, rollout, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, crunch, ancientpower, rocksmash, whirlpool, facade, superpower, secretpower, dive, rocktomb, muddywater, irondefense, mudshot, rockblast, brine, guardswap, rockpolish, aquatail, focusblast, earthpower, gigaimpact, zenheadbutt, ironhead, stoneedge, stealthrock, aquajet, wideguard, smackdown, round, scald, shellsmash, bulldoze, razorshell, confide, liquidation","101, 8, 1, 61, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 1, 101, 101, 51, 101, 101, 35, 11, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 56, 21, 18, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 28, 101, 101, 45, 101, 101, 101, 101, 101, 101, 101, 15, 25, 31, 101, 101, 40, 101, 101, 101, 101"
566,archen,"cut, wingattack, thrash, leer, roar, rockthrow, earthquake, dig, toxic, agility, quickattack, doubleteam, swift, rest, rockslide, substitute, snore, protect, scaryface, sandstorm, endure, swagger, steelwing, attract, sleeptalk, return, frustration, dragonbreath, irontail, hiddenpower, crunch, ancientpower, rocksmash, uproar, heatwave, torment, facade, taunt, endeavor, secretpower, rocktomb, aerialace, irondefense, dragonclaw, bounce, rockblast, roost, pluck, tailwind, uturn, assurance, rockpolish, dragonpulse, earthpower, shadowclaw, zenheadbutt, stoneedge, stealthrock, honeclaws, smackdown, round, quickguard, allyswitch, acrobatics, bulldoze, confide","101, 1, 51, 1, 101, 5, 101, 101, 101, 21, 1, 8, 101, 101, 45, 101, 101, 101, 11, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 35, 18, 101, 101, 101, 101, 101, 101, 38, 101, 101, 101, 101, 48, 101, 101, 101, 15, 36, 41, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 101, 28, 101, 101"
567,archeops,"cut, wingattack, fly, thrash, leer, roar, hyperbeam, rockthrow, earthquake, dig, toxic, agility, quickattack, doubleteam, swift, rest, rockslide, substitute, snore, protect, scaryface, outrage, sandstorm, endure, swagger, steelwing, attract, sleeptalk, return, frustration, dragonbreath, irontail, hiddenpower, crunch, ancientpower, rocksmash, uproar, heatwave, torment, facade, taunt, endeavor, secretpower, rocktomb, aerialace, irondefense, dragonclaw, bounce, rockblast, roost, pluck, tailwind, uturn, assurance, rockpolish, airslash, dragonpulse, focusblast, earthpower, gigaimpact, shadowclaw, zenheadbutt, stoneedge, stealthrock, honeclaws, smackdown, round, quickguard, allyswitch, acrobatics, bulldoze, dragontail, confide","101, 1, 101, 61, 1, 101, 101, 1, 101, 101, 101, 21, 1, 8, 101, 101, 51, 101, 101, 101, 11, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 35, 18, 101, 101, 101, 101, 101, 101, 40, 101, 101, 101, 101, 56, 101, 101, 101, 15, 36, 45, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 101, 28, 101, 101, 101"
568,trubbish,"pound, doubleslap, takedown, toxic, doubleteam, selfdestruct, sludge, amnesia, poisongas, explosion, rest, substitute, thief, snore, protect, sludgebomb, spikes, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, painsplit, hiddenpower, raindance, sunnyday, stockpile, swallow, facade, recycle, secretpower, rockblast, payback, toxicspikes, darkpulse, seedbomb, drainpunch, gunkshot, venoshock, sludgewave, acidspray, round, clearsmog, belch, confide, venomdrench, infestation","1, 14, 25, 36, 101, 101, 18, 40, 1, 47, 101, 101, 101, 101, 101, 29, 101, 101, 101, 101, 101, 101, 101, 101, 37, 101, 101, 101, 23, 23, 101, 3, 101, 101, 101, 7, 101, 101, 101, 45, 101, 101, 12, 101, 34, 42, 101, 101, 101"
569,garbodor,"pound, doubleslap, bodyslam, takedown, hyperbeam, solarbeam, thunderbolt, toxic, psychic, screech, doubleteam, selfdestruct, sludge, amnesia, poisongas, explosion, rest, substitute, thief, snore, protect, sludgebomb, spikes, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, painsplit, metalclaw, hiddenpower, raindance, sunnyday, stockpile, swallow, facade, recycle, secretpower, rockblast, payback, fling, toxicspikes, rockpolish, darkpulse, seedbomb, drainpunch, focusblast, gigaimpact, crosspoison, gunkshot, venoshock, smackdown, sludgewave, acidspray, round, clearsmog, belch, confide, venomdrench, infestation, stompingtantrum, bodypress","1, 14, 25, 1, 101, 101, 101, 39, 101, 101, 101, 101, 18, 46, 1, 59, 101, 101, 101, 101, 101, 29, 101, 101, 101, 101, 101, 101, 101, 101, 39, 1, 101, 101, 101, 23, 23, 101, 1, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 54, 101, 101, 101, 12, 101, 34, 49, 101, 101, 101, 101, 101"
570,zorua,"scratch, swordsdance, cut, takedown, leer, roar, dig, toxic, agility, nightshade, doubleteam, confuseray, swift, furyswipes, rest, substitute, thief, snore, spite, protect, scaryface, feintattack, sludgebomb, endure, swagger, attract, sleeptalk, return, frustration, painsplit, encore, pursuit, hiddenpower, raindance, sunnyday, psychup, shadowball, uproar, torment, facade, taunt, helpinghand, trick, revenge, knockoff, imprison, secretpower, hypervoice, faketears, aerialace, bounce, calmmind, uturn, payback, assurance, embargo, fling, punishment, darkpulse, nastyplot, shadowclaw, grassknot, honeclaws, foulplay, round, hex, incinerate, retaliate, nightdaze, snarl, confide, skittersmack, burningjealousy, lashout, terablast","1, 101, 101, 101, 1, 101, 101, 101, 37, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 21, 17, 101, 101, 101, 101, 101, 101, 101, 101, 101, 5, 101, 101, 101, 101, 101, 101, 33, 101, 25, 101, 101, 101, 24, 53, 101, 101, 9, 101, 101, 101, 101, 101, 101, 41, 101, 45, 101, 49, 101, 101, 101, 29, 101, 101, 101, 101, 57, 101, 101, 101, 101, 101, 101"
571,zoroark,"megapunch, scratch, swordsdance, cut, megakick, bodyslam, takedown, leer, roar, flamethrower, hyperbeam, lowkick, dig, toxic, psychic, agility, nightshade, doubleteam, confuseray, swift, furyswipes, rest, substitute, thief, snore, spite, protect, scaryface, feintattack, sludgebomb, endure, swagger, attract, sleeptalk, return, frustration, painsplit, encore, pursuit, hiddenpower, raindance, sunnyday, crunch, psychup, shadowball, rocksmash, uproar, torment, facade, taunt, helpinghand, trick, revenge, brickbreak, knockoff, imprison, secretpower, hypervoice, faketears, aerialace, bounce, calmmind, uturn, payback, assurance, embargo, fling, punishment, darkpulse, nightslash, focusblast, gigaimpact, nastyplot, shadowclaw, grassknot, honeclaws, lowsweep, foulplay, round, hex, incinerate, retaliate, nightdaze, snarl, confide, throatchop, skittersmack, burningjealousy, lashout, terablast","101, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 39, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 21, 17, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 34, 101, 25, 101, 101, 101, 101, 24, 59, 101, 101, 28, 101, 101, 101, 1, 101, 101, 44, 101, 49, 101, 30, 101, 101, 54, 101, 101, 1, 101, 29, 101, 101, 101, 101, 64, 101, 101, 101, 101, 101, 101, 101"
572,minccino,"pound, doubleslap, slam, takedown, growl, sing, thunderbolt, thunderwave, dig, toxic, doubleteam, swift, rest, superfang, substitute, thief, snore, protect, mudslap, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, batonpass, encore, irontail, hiddenpower, raindance, sunnyday, uproar, facade, helpinghand, knockoff, endeavor, secretpower, hypervoice, faketears, tickle, bulletseed, calmmind, wakeupslap, uturn, fling, lastresort, seedbomb, gunkshot, captivate, grassknot, afteryou, round, echoedvoice, retaliate, workup, tailslap, playrough, confide, dazzlinggleam, babydolleyes, tripleaxel, terablast, trailblaze, chillingwater, alluringvoice","1, 13, 37, 101, 3, 21, 101, 101, 101, 101, 101, 19, 101, 101, 101, 101, 101, 101, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 15, 101, 101, 101, 101, 101, 101, 7, 101, 101, 101, 43, 101, 9, 101, 101, 31, 101, 101, 45, 101, 101, 39, 101, 49, 101, 33, 101, 101, 25, 101, 101, 101, 3, 101, 101, 101, 101, 101"
573,cinccino,"pound, slam, takedown, doubleedge, sing, hyperbeam, thunderbolt, thunderwave, thunder, dig, toxic, doubleteam, lightscreen, swift, rest, superfang, substitute, thief, snore, protect, mudslap, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, batonpass, encore, irontail, hiddenpower, raindance, sunnyday, uproar, facade, helpinghand, knockoff, endeavor, secretpower, hypervoice, faketears, tickle, bulletseed, calmmind, rockblast, uturn, fling, lastresort, seedbomb, focusblast, gigaimpact, gunkshot, grassknot, afteryou, round, echoedvoice, retaliate, workup, tailslap, playrough, confide, dazzlinggleam, babydolleyes, tripleaxel, terablast, icespinner, trailblaze, chillingwater, alluringvoice","1, 1, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 1, 101, 1, 1, 101, 1, 101, 101, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 1, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101"
574,gothita,"pound, doubleslap, psybeam, thunderbolt, thunderwave, toxic, confusion, psychic, hypnosis, doubleteam, lightscreen, reflect, swift, dreameater, flash, rest, rockslide, substitute, thief, snore, protect, feintattack, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, futuresight, uproar, torment, flatter, facade, taunt, helpinghand, trick, skillswap, imprison, secretpower, faketears, rocktomb, tickle, calmmind, gravity, payback, embargo, fling, healblock, guardswap, darkpulse, energyball, nastyplot, zenheadbutt, trickroom, grassknot, chargebeam, psyshock, telekinesis, magicroom, foulplay, round, storedpower, allyswitch, playnice, confide, psychicterrain, expandingforce, terablast, psychicnoise","1, 14, 16, 101, 101, 101, 3, 37, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 24, 101, 46, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101, 10, 101, 7, 101, 101, 101, 19, 101, 33, 101, 101, 101, 101, 101, 101, 101, 101, 25, 40, 48, 101, 101, 101, 101, 8, 101, 101, 101, 101, 101"
575,gothorita,"pound, doubleslap, psybeam, thunderbolt, thunderwave, toxic, confusion, psychic, hypnosis, doubleteam, lightscreen, reflect, metronome, swift, dreameater, flash, rest, rockslide, substitute, thief, snore, protect, feintattack, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, futuresight, uproar, torment, flatter, facade, taunt, helpinghand, trick, skillswap, imprison, secretpower, faketears, rocktomb, tickle, calmmind, gravity, payback, embargo, fling, healblock, guardswap, darkpulse, energyball, nastyplot, zenheadbutt, trickroom, grassknot, chargebeam, psyshock, telekinesis, magicroom, foulplay, round, storedpower, allyswitch, playnice, confide, psychicterrain, expandingforce, terablast, psychicnoise","1, 14, 16, 101, 101, 101, 1, 39, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 24, 101, 50, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101, 1, 101, 1, 101, 101, 101, 19, 101, 34, 101, 101, 101, 101, 101, 101, 101, 101, 25, 43, 53, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101"
576,gothitelle,"pound, doubleslap, bodyslam, psybeam, hyperbeam, thunderbolt, thunderwave, toxic, confusion, psychic, hypnosis, doubleteam, lightscreen, reflect, metronome, swift, dreameater, flash, rest, rockslide, substitute, thief, snore, protect, feintattack, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, hiddenpower, raindance, psychup, shadowball, futuresight, uproar, torment, flatter, facade, taunt, helpinghand, trick, brickbreak, skillswap, imprison, secretpower, faketears, rocktomb, tickle, cosmicpower, calmmind, gravity, payback, embargo, fling, healblock, guardswap, darkpulse, focusblast, energyball, gigaimpact, nastyplot, zenheadbutt, trickroom, grassknot, chargebeam, psyshock, telekinesis, magicroom, lowsweep, foulplay, round, storedpower, allyswitch, playnice, confide, poweruppunch, psychicterrain, expandingforce, terablast, psychicnoise","1, 14, 101, 16, 101, 101, 101, 101, 1, 39, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 24, 101, 54, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 1, 101, 101, 101, 101, 19, 101, 34, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 45, 59, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101"
577,solosis,"psybeam, thunderwave, thunder, toxic, confusion, psychic, nightshade, doubleteam, recover, confuseray, lightscreen, reflect, swift, dreameater, flash, psywave, explosion, rest, rockslide, substitute, snore, protect, endure, charm, rollout, swagger, attract, sleeptalk, return, frustration, safeguard, painsplit, encore, hiddenpower, raindance, sunnyday, psychup, shadowball, futuresight, facade, helpinghand, trick, endeavor, skillswap, imprison, snatch, secretpower, rocktomb, irondefense, calmmind, gravity, gyroball, embargo, healblock, powerswap, guardswap, energyball, zenheadbutt, flashcannon, trickroom, wonderroom, psyshock, telekinesis, round, storedpower, allyswitch, confide, infestation, psychicterrain, expandingforce, terablast","12, 101, 101, 101, 1, 37, 101, 101, 24, 101, 16, 3, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 19, 7, 101, 101, 101, 101, 101, 101, 33, 101, 14, 101, 101, 101, 101, 31, 101, 101, 101, 28, 40, 101, 10, 101, 101, 101, 101, 101, 101, 101, 46, 101, 101, 101, 101, 101, 101, 48, 25, 101, 101, 101, 28, 101, 101, 101, 101, 101"
578,duosion,"psybeam, thunderwave, thunder, toxic, confusion, psychic, nightshade, doubleteam, recover, confuseray, lightscreen, reflect, swift, dreameater, flash, psywave, explosion, rest, rockslide, substitute, snore, protect, endure, charm, rollout, swagger, attract, sleeptalk, return, frustration, safeguard, painsplit, encore, hiddenpower, raindance, sunnyday, psychup, shadowball, futuresight, facade, helpinghand, trick, endeavor, skillswap, imprison, snatch, secretpower, rocktomb, irondefense, calmmind, gravity, gyroball, embargo, healblock, powerswap, guardswap, energyball, zenheadbutt, flashcannon, trickroom, wonderroom, psyshock, telekinesis, round, storedpower, allyswitch, confide, infestation, psychicterrain, expandingforce, terablast","12, 101, 101, 101, 1, 39, 101, 101, 24, 101, 16, 1, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 19, 1, 101, 101, 101, 101, 101, 101, 34, 101, 14, 101, 101, 101, 101, 31, 101, 101, 101, 28, 43, 101, 1, 101, 101, 101, 101, 101, 101, 101, 50, 101, 101, 101, 101, 101, 101, 53, 25, 101, 101, 101, 28, 101, 101, 101, 101, 101"
579,reuniclus,"megapunch, firepunch, icepunch, thunderpunch, bodyslam, psybeam, hyperbeam, strength, thunderwave, thunder, toxic, confusion, psychic, nightshade, doubleteam, recover, confuseray, lightscreen, reflect, swift, dreameater, dizzypunch, flash, psywave, explosion, rest, rockslide, substitute, snore, protect, endure, charm, rollout, swagger, attract, sleeptalk, return, frustration, safeguard, painsplit, encore, hiddenpower, raindance, sunnyday, psychup, shadowball, futuresight, rocksmash, facade, focuspunch, helpinghand, trick, superpower, knockoff, endeavor, skillswap, imprison, snatch, secretpower, rocktomb, irondefense, calmmind, gravity, hammerarm, gyroball, embargo, fling, healblock, powerswap, guardswap, drainpunch, focusblast, energyball, gigaimpact, zenheadbutt, flashcannon, trickroom, grassknot, wonderroom, psyshock, telekinesis, round, storedpower, allyswitch, confide, infestation, poweruppunch, psychicterrain, expandingforce, terablast, psychicnoise","101, 101, 101, 101, 101, 12, 101, 101, 101, 101, 101, 1, 39, 101, 101, 24, 101, 16, 1, 101, 101, 41, 101, 1, 101, 101, 101, 101, 101, 101, 101, 19, 1, 101, 101, 101, 101, 101, 101, 34, 101, 14, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 101, 101, 28, 45, 101, 1, 101, 101, 101, 101, 101, 0, 101, 101, 101, 54, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 59, 25, 101, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101"
580,ducklett,"wingattack, fly, doubleedge, watergun, surf, icebeam, bubblebeam, toxic, doubleteam, swift, rest, substitute, protect, icywind, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, raindance, whirlpool, hail, facade, helpinghand, endeavor, secretpower, dive, featherdance, aircutter, aerialace, watersport, waterpulse, roost, pluck, tailwind, aquaring, airslash, bravebird, defog, round, scald, hurricane, disarmingvoice, confide, liquidation, terablast, trailblaze, chillingwater","9, 101, 101, 1, 101, 101, 19, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 34, 101, 101, 101, 101, 101, 101, 101, 21, 101, 15, 3, 13, 30, 101, 37, 24, 27, 41, 6, 101, 101, 46, 101, 101, 101, 101, 101, 101"
581,swanna,"wingattack, fly, doubleedge, watergun, hydropump, surf, icebeam, bubblebeam, hyperbeam, toxic, doubleteam, swift, rest, substitute, protect, icywind, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, raindance, whirlpool, hail, facade, helpinghand, knockoff, endeavor, secretpower, dive, featherdance, weatherball, aircutter, aerialace, watersport, waterpulse, roost, pluck, tailwind, aquaring, airslash, bravebird, gigaimpact, defog, round, scald, acrobatics, hurricane, disarmingvoice, confide, liquidation, flipturn, terablast, trailblaze, chillingwater, alluringvoice","1, 101, 101, 1, 101, 101, 101, 19, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 34, 101, 101, 101, 101, 101, 101, 101, 101, 21, 101, 101, 15, 1, 13, 30, 101, 40, 24, 27, 47, 101, 1, 101, 101, 101, 55, 101, 101, 101, 101, 101, 101, 101, 101"
582,vanillite,"mist, icebeam, blizzard, toxic, doubleteam, harden, lightscreen, selfdestruct, acidarmor, explosion, rest, substitute, snore, protect, icywind, endure, swagger, attract, sleeptalk, return, frustration, hiddenpower, raindance, mirrorcoat, uproar, hail, facade, taunt, imprison, secretpower, hypervoice, astonish, sheercold, iciclespear, irondefense, avalanche, mirrorshot, flashcannon, round, allyswitch, frostbreath, confide","16, 35, 49, 101, 101, 4, 101, 101, 31, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 101, 101, 44, 10, 40, 101, 22, 101, 101, 101, 7, 53, 1, 101, 19, 26, 101, 101, 101, 101, 101"
583,vanillish,"mist, icebeam, blizzard, toxic, doubleteam, harden, lightscreen, selfdestruct, acidarmor, explosion, rest, substitute, snore, protect, icywind, endure, swagger, attract, sleeptalk, return, frustration, hiddenpower, raindance, mirrorcoat, uproar, hail, facade, taunt, imprison, secretpower, hypervoice, astonish, sheercold, iciclespear, irondefense, avalanche, mirrorshot, flashcannon, round, allyswitch, frostbreath, confide","16, 36, 53, 101, 101, 1, 101, 101, 31, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 101, 101, 47, 1, 42, 101, 22, 101, 101, 101, 1, 58, 1, 101, 19, 26, 101, 101, 101, 101, 101"
584,vanilluxe,"mist, icebeam, blizzard, hyperbeam, toxic, doubleteam, harden, lightscreen, selfdestruct, acidarmor, explosion, rest, substitute, snore, protect, icywind, endure, swagger, attract, sleeptalk, return, frustration, hiddenpower, raindance, mirrorcoat, beatup, uproar, hail, facade, taunt, imprison, secretpower, hypervoice, astonish, weatherball, sheercold, iciclespear, irondefense, gigaimpact, avalanche, mirrorshot, flashcannon, round, allyswitch, frostbreath, iciclecrash, freezedry, confide","16, 36, 59, 101, 101, 101, 1, 101, 101, 31, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 101, 101, 50, 101, 1, 42, 101, 22, 101, 101, 101, 1, 1, 67, 1, 101, 101, 19, 26, 101, 101, 101, 101, 1, 1, 101"
585,deerling,"doublekick, jumpkick, sandattack, tackle, bodyslam, takedown, doubleedge, growl, leechseed, solarbeam, thunderwave, dig, toxic, agility, doubleteam, lightscreen, flash, rest, substitute, protect, feintattack, gigadrain, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, batonpass, hiddenpower, raindance, sunnyday, shadowball, facade, naturepower, helpinghand, endeavor, secretpower, camouflage, aromatherapy, faketears, bulletseed, magicalleaf, seedbomb, energyball, zenheadbutt, leafstorm, grassknot, round, echoedvoice, retaliate, bulldoze, workup, wildcharge, grassyterrain, playrough, confide, grassyglide, terablast, trailblaze","10, 24, 7, 1, 101, 20, 46, 4, 13, 51, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 16, 101, 101, 36, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 41, 101, 101, 101, 1, 28, 101, 16, 101, 101, 32, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
586,sawsbuck,"swordsdance, cut, doublekick, jumpkick, sandattack, tackle, bodyslam, takedown, doubleedge, growl, hyperbeam, leechseed, solarbeam, thunderwave, dig, toxic, agility, doubleteam, lightscreen, flash, rest, substitute, curse, protect, feintattack, gigadrain, endure, charm, swagger, attract, sleeptalk, return, frustration, safeguard, megahorn, batonpass, hiddenpower, raindance, sunnyday, shadowball, rocksmash, facade, naturepower, helpinghand, endeavor, secretpower, camouflage, aromatherapy, faketears, bulletseed, magicalleaf, seedbomb, energyball, gigaimpact, zenheadbutt, leafstorm, grassknot, round, echoedvoice, retaliate, bulldoze, workup, wildcharge, hornleech, petalblizzard, grassyterrain, playrough, confide, highhorsepower, throatchop, smartstrike, stompingtantrum, grassyglide, terablast, trailblaze","101, 101, 10, 24, 1, 1, 101, 20, 52, 1, 101, 13, 60, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 16, 101, 101, 36, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 44, 101, 101, 101, 1, 28, 101, 16, 101, 101, 32, 101, 24, 101, 101, 101, 101, 101, 101, 101, 101, 37, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
587,emolga,"cut, tailwhip, solarbeam, thundershock, thunderbolt, thunderwave, thunder, toxic, agility, quickattack, doubleteam, lightscreen, swift, flash, rest, substitute, snore, protect, endure, charm, swagger, spark, attract, sleeptalk, return, frustration, batonpass, encore, pursuit, irontail, hiddenpower, raindance, facade, charge, taunt, helpinghand, secretpower, aerialace, shockwave, roost, uturn, fling, airslash, energyball, discharge, chargebeam, electroball, round, acrobatics, voltswitch, electroweb, wildcharge, confide, eerieimpulse, nuzzle, speedswap","101, 7, 101, 1, 101, 101, 101, 101, 46, 4, 19, 34, 101, 101, 101, 101, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 38, 16, 101, 101, 101, 101, 10, 101, 101, 101, 101, 22, 101, 101, 101, 101, 101, 50, 101, 26, 101, 30, 42, 101, 101, 101, 101, 15, 101"
